,row_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,customer_name,segment,city,country,state,region,postal_code,product_name,sub-category,category
0,1,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0.0,41.9136,Claire Gute,Consumer,Henderson,United States,Kentucky,South,42420,Bush Somerset Collection Bookcase,Bookcases,Furniture
4,2,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0.0,219.582,Claire Gute,Consumer,Henderson,United States,Kentucky,South,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs,Furniture
32,3,CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0.0,6.8714,Darrin Van Huff,Corporate,Los Angeles,United States,California,West,90036,Self-Adhesive Address Labels for Typewriters by Universal,Labels,Office Supplies
91,4,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031,Sean O'Donnell,Consumer,Fort Lauderdale,United States,Florida,South,33311,Bretford CR4500 Series Slim Rectangular Table,Tables,Furniture
99,5,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164,Sean O'Donnell,Consumer,Fort Lauderdale,United States,Florida,South,33311,Eldon Fold 'N Roll Cart System,Storage,Office Supplies
199,6,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0.0,14.1694,Brosina Hoffman,Consumer,Los Angeles,United States,California,West,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furnishings,Furniture
204,7,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0.0,1.9656,Brosina Hoffman,Consumer,Los Angeles,United States,California,West,90032,Newell 322,Art,Office Supplies
210,8,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152,Brosina Hoffman,Consumer,Los Angeles,United States,California,West,90032,Mitel 5320 IP Phone VoIP phone,Phones,Technology
214,9,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825,Brosina Hoffman,Consumer,Los Angeles,United States,California,West,90032,DXL Angle-View Binders with Locking Rings by Samsill,Binders,Office Supplies
224,10,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0.0,34.47,Brosina Hoffman,Consumer,Los Angeles,United States,California,West,90032,Belkin F5C206VTEL 6 Outlet Surge,Appliances,Office Supplies
